ob,c,r,d,fo,0.0<=x<0.0,0.0<=x<0.1,0.1<=x<0.2,0.2<=x<0.3,0.3<=x<0.4,0.4<=x<0.5,0.5<=x<0.6,0.6<=x<0.7,0.7<=x<0.8,0.8<=x<0.9,0.9<=x<1.0,1.0<=x<1.1,dToCritical,dToDesirable,hasLM,Label
PICK-UP T,0.33,0.02,0.04,1.31,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,11,10,0.5,N
STACK T M,0.5,0.02,0.06,1.46,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10,8,0.5,N
PICK-UP A,0.5,0.03,0.11,1.42,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9,7,0.3,N
STACK A T,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,2,0.4,N
PICK-UP R,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,1,0.2,N
STACK R A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.3,N
PICK-UP A,0.33,0.08,0.07,1.3399999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,5,0.4,N
STACK A T,0.5,0.01,0.15,1.3599999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10,8,0.5,N
PICK-UP R,0.5,0.0,0.22,1.28,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,9,0.3,N
STACK R A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.4,N
PICK-UP M,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.2,N
PICK-UP A,0.33,0.08,0.07,1.3399999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,5,0.4,N
STACK A T,0.5,0.01,0.15,1.3599999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10,8,0.5,N
PICK-UP R,0.5,0.0,0.22,1.28,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,9,0.3,N
STACK R A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.4,N
PICK-UP A,0.33,0.08,0.07,1.3399999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,5,0.4,N
STACK A T,0.5,0.01,0.15,1.3599999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10,8,0.5,N
PICK-UP M,0.5,0.02,0.06,1.46,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,9,14,0.3,N
STACK M A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,2,0.4,N
PICK-UP R,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,1,0.2,N
STACK R M,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.2,N
PICK-UP A,0.33,0.08,0.07,1.3399999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,7,5,0.4,N
STACK A T,0.5,0.01,0.15,1.3599999999999999,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,10,8,0.5,N
PICK-UP R,0.5,0.0,0.22,1.28,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,15,9,0.3,N
STACK R A,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.4,N
PICK-UP M,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.2,N
STACK M R,1.0,0.0,1.0,1.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0,-1,0,0.3,N
PICK-UP M,0.33,0.08,0.02,1.3900000000000001,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,5,10,0.4,N
STACK M T,0.5,0.25,0.01,1.74,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4,9,0.6,Y
PICK-UP A,0.5,0.5,0.02,1.98,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,3,8,0.4,Y
STACK A M,1.0,1.0,0.0,3.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2,-1,0.5,Y
PICK-UP R,1.0,1.0,0.0,3.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,-1,0.3,Y
STACK R A,1.0,1.0,0.0,3.0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0,-1,0.4,Y
