ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICK-UP A,0.33,0.31,0.4,0.4,0.56,0.56,5.0,5.0,0.0,0.0,0.1,0.1,0.5,N,[242.0]
STACK A T,0.22,0.29,0.32,0.43,0.44,0.54,7.0,5.0,0.25,0.0,0.36,0.2,0.33,N,[296.0]
PICK-UP R,0.15,0.0,0.28,0.36,0.41,0.42,9.0,7.0,0.44,0.33,0.5,0.43,0.33,N,[444.0]
STACK R A,0.08,0.0,0.24,0.3,0.37,0.33,11.0,9.0,0.55,0.5,0.59,0.56,0.33,N,[624.0]
PICK-UP C,0.0,0.0,0.2,0.24,0.3,0.29,13.0,11.0,0.67,0.6,0.69,0.64,0.33,N,[848.0]
STACK C R,0.0,-0.15,0.18,0.21,0.26,0.25,15.0,13.0,0.71,0.67,0.73,0.69,0.33,N,[1207.0]
PICK-UP R,0.25,0.12,0.3,0.3,0.49,0.5,7.0,7.0,0.25,0.25,0.07,0.14,0.33,N,[329.0]
STACK R T,0.11,0.0,0.35,0.25,0.62,0.4,7.0,9.0,0.25,0.44,0.14,0.44,0.33,Y,[436.0]
PICK-UP A,0.22,0.17,0.37,0.17,0.58,0.33,7.0,11.0,0.0,0.6,0.0,0.5,0.5,Y,[587.0]
STACK A R,0.0,0.14,0.44,0.14,0.53,0.29,7.0,13.0,0.0,0.67,0.0,0.58,0.67,Y,[701.0]
PICK-UP C,0.0,0.12,0.5,0.13,0.57,0.25,7.0,15.0,0.0,0.71,0.0,0.63,0.83,Y,[957.0]
STACK C A,0.0,0.11,0.56,0.11,0.62,0.22,7.0,17.0,0.0,0.75,0.0,0.68,1.0,Y,[1209.0]
PICK-UP A,0.33,0.31,0.4,0.4,0.56,0.56,5.0,5.0,0.0,0.0,0.1,0.1,0.5,N,[239.0]
STACK A T,0.22,0.29,0.32,0.43,0.44,0.54,7.0,5.0,0.25,0.0,0.36,0.2,0.33,N,[305.0]
PICK-UP C,0.1,0.29,0.28,0.43,0.41,0.54,9.0,5.0,0.5,0.0,0.56,0.0,0.5,N,[374.0]
STACK C A,0.15,0.4,0.24,0.51,0.37,0.56,11.0,5.0,0.55,0.0,0.59,0.0,0.67,N,[496.0]
PICK-UP A,0.33,0.31,0.4,0.4,0.56,0.56,5.0,5.0,0.0,0.0,0.1,0.1,0.5,N,[241.0]
STACK A T,0.22,0.29,0.32,0.43,0.44,0.54,7.0,5.0,0.25,0.0,0.36,0.2,0.33,N,[303.0]
PICK-UP C,0.1,0.29,0.28,0.43,0.41,0.54,9.0,5.0,0.5,0.0,0.56,0.0,0.5,N,[377.0]
STACK C A,0.15,0.4,0.24,0.51,0.37,0.56,11.0,5.0,0.55,0.0,0.59,0.0,0.67,N,[499.0]
PICK-UP R,0.0,0.22,0.2,0.42,0.32,0.5,13.0,5.0,0.67,0.0,0.69,0.0,0.67,N,[676.0]
STACK R C,0.0,0.11,0.18,0.45,0.28,0.5,15.0,5.0,0.71,0.0,0.73,0.0,0.67,N,[930.0]
PICK-UP T,0.12,0.25,0.3,0.3,0.5,0.49,7.0,7.0,0.25,0.25,0.14,0.07,0.33,N,[327.0]
STACK T R,0.0,0.11,0.25,0.35,0.4,0.62,9.0,7.0,0.44,0.25,0.44,0.14,0.33,N,[431.0]
PICK-UP A,0.17,0.22,0.17,0.37,0.33,0.58,11.0,7.0,0.6,0.0,0.5,0.0,0.33,N,[539.0]
STACK A T,0.14,0.0,0.14,0.44,0.29,0.53,13.0,7.0,0.67,0.0,0.58,0.0,0.33,N,[700.0]
PICK-UP C,0.12,0.0,0.13,0.5,0.25,0.57,15.0,7.0,0.71,0.0,0.63,0.0,0.5,N,[915.0]
STACK C A,0.11,0.0,0.11,0.56,0.22,0.62,17.0,7.0,0.75,0.0,0.68,0.0,0.67,N,[1209.0]
PICK-UP A,0.33,0.31,0.4,0.4,0.56,0.56,5.0,5.0,0.0,0.0,0.1,0.1,0.5,N,[256.0]
STACK A T,0.22,0.29,0.32,0.43,0.44,0.54,7.0,5.0,0.25,0.0,0.36,0.2,0.33,N,[310.0]
PICK-UP C,0.1,0.29,0.28,0.43,0.41,0.54,9.0,5.0,0.5,0.0,0.56,0.0,0.5,N,[389.0]
STACK C A,0.15,0.4,0.24,0.51,0.37,0.56,11.0,5.0,0.55,0.0,0.59,0.0,0.67,N,[527.0]
PICK-UP R,0.0,0.22,0.2,0.42,0.32,0.5,13.0,5.0,0.67,0.0,0.69,0.0,0.67,N,[681.0]
