o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_1,0.2,0.27,0.24,0.26,0.36,0.3,8.0,9.0,0.07,0.12,0.19,0.22,2.0,N
PICKUP PLACE_0_0 KEY_0,0.2,0.2,0.24,0.26,0.36,0.3,8.0,9.0,0.43,0.12,0.44,0.22,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.2,0.18,0.24,0.22,0.37,0.33,8.0,9.0,0.43,0.25,0.44,0.33,2.0,N
MOVE PLACE_0_0 PLACE_0_1,0.16,0.1,0.28,0.26,0.37,0.33,8.0,9.0,0.14,0.25,0.25,0.33,2.0,N
UNLOCK PLACE_0_1 PLACE_1_1 KEY_1 SHAPE_1,0.18,0.17,0.24,0.23,0.34,0.32,9.0,10.0,0.38,0.44,0.33,0.5,2.0,N
MOVE PLACE_0_1 PLACE_0_2,0.18,0.17,0.24,0.19,0.34,0.32,9.0,10.0,0.25,0.28,0.33,0.35,2.0,N
MOVE PLACE_0_2 PLACE_1_2,0.15,0.07,0.18,0.17,0.29,0.27,11.0,12.0,0.35,0.55,0.41,0.58,2.0,N
MOVE PLACE_1_2 PLACE_2_2,0.0,0.14,0.18,0.18,0.23,0.25,13.0,13.0,0.58,0.54,0.62,0.62,2.0,N
UNLOCK PLACE_2_2 PLACE_3_2 KEY_0 SHAPE_0,0.5,0.13,0.44,0.18,0.24,0.25,14.0,13.0,0.54,0.38,0.61,0.46,2.0,N
MOVE PLACE_2_2 PLACE_3_2,0.12,0.13,0.17,0.21,0.24,0.25,14.0,13.0,0.42,0.42,0.5,0.5,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.12,0.12,0.21,0.23,0.32,0.33,14.0,13.0,0.46,0.46,0.54,0.54,2.0,N
MOVE PLACE_3_3 PLACE_2_3,0.12,0.13,0.2,0.23,0.32,0.33,14.0,13.0,0.5,0.33,0.57,0.38,2.0,N
