o,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICKUP PLACE_0_0 KEY_0,0.25,0.67,0.42,0.65,0.41,0.25,6.0,9.0,0.0,0.25,0.0,0.33,2.0,N
UNLOCK PLACE_0_0 PLACE_0_1 KEY_0 SHAPE_0,0.25,0.27,0.33,0.3,0.36,0.29,7.0,9.0,0.0,0.25,0.14,0.33,2.0,N
PICKUP PLACE_0_0 KEY_1,0.53,0.25,0.54,0.29,0.32,0.27,8.0,10.0,0.14,0.33,0.25,0.4,2.0,N
MOVE PLACE_0_0 PLACE_1_0,0.2,0.26,0.25,0.22,0.37,0.25,8.0,11.0,0.07,0.3,0.19,0.41,2.0,N
MOVE PLACE_1_0 PLACE_2_0,0.21,0.15,0.29,0.18,0.37,0.29,8.0,11.0,0.14,0.35,0.25,0.45,2.0,N
MOVE PLACE_2_0 PLACE_3_0,0.27,0.15,0.37,0.18,0.42,0.29,8.0,11.0,0.29,0.6,0.38,0.59,2.0,N
MOVE PLACE_3_0 PLACE_3_1,0.27,0.15,0.37,0.18,0.42,0.29,8.0,11.0,0.14,0.6,0.25,0.59,1.0,Y
UNLOCK PLACE_3_1 PLACE_3_2 KEY_0 SHAPE_0,0.32,0.15,0.32,0.22,0.43,0.29,8.0,11.0,0.25,0.4,0.33,0.45,1.0,Y
MOVE PLACE_3_1 PLACE_3_2,0.15,0.15,0.25,0.25,0.29,0.38,8.0,11.0,0.4,0.35,0.45,0.45,2.0,N
MOVE PLACE_3_2 PLACE_3_3,0.07,0.16,0.19,0.31,0.25,0.38,8.0,11.0,0.5,0.2,0.54,0.27,2.0,N
