ob,R1,D1,R2,D2,R3,D3,R4,D4,R5,D5,R6,D6,R7,Label
PICK-UP C,0.12,0.33,0.3,0.4,0.5,0.56,7.0,5.0,0.25,0.0,0.14,0.1,NaN,N
STACK C H,0.0,0.29,0.25,0.43,0.4,0.54,9.0,5.0,0.44,0.0,0.44,0.2,NaN,N
PICK-UP A,0.0,0.29,0.17,0.43,0.34,0.54,11.0,5.0,0.6,0.0,0.5,0.0,NaN,N
STACK A C,-0.08,0.4,0.14,0.51,0.3,0.56,13.0,5.0,0.67,0.0,0.58,0.0,NaN,N
PICK-UP S,-0.07,0.22,0.13,0.42,0.26,0.5,15.0,5.0,0.71,0.0,0.63,0.0,NaN,N
STACK S A,-0.12,0.11,0.11,0.45,0.23,0.5,17.0,5.0,0.75,0.0,0.68,0.0,NaN,N
PICK-UP C,0.12,0.33,0.3,0.4,0.5,0.56,7.0,5.0,0.25,0.0,0.14,0.1,NaN,N
STACK C H,0.0,0.29,0.25,0.43,0.4,0.54,9.0,5.0,0.44,0.0,0.44,0.2,NaN,N
PICK-UP S,0.17,0.0,0.17,0.36,0.33,0.42,11.0,7.0,0.6,0.33,0.5,0.43,NaN,N
STACK S C,0.14,0.0,0.14,0.29,0.29,0.33,13.0,9.0,0.67,0.5,0.58,0.56,NaN,N
PICK-UP A,0.12,0.0,0.13,0.25,0.25,0.29,15.0,11.0,0.71,0.6,0.63,0.64,NaN,N
STACK A S,0.11,-0.15,0.11,0.22,0.22,0.25,17.0,13.0,0.75,0.67,0.68,0.69,NaN,N
PICK-UP H,0.25,0.25,0.3,0.3,0.49,0.49,7.0,7.0,0.25,0.25,0.07,0.07,NaN,N
STACK H S,0.2,0.22,0.25,0.35,0.4,0.59,9.0,7.0,0.62,0.25,0.5,0.14,NaN,N
PICK-UP C,0.08,0.22,0.17,0.37,0.34,0.58,11.0,7.0,0.7,0.0,0.59,0.0,NaN,N
STACK C H,0.04,0.0,0.14,0.43,0.3,0.53,13.0,7.0,0.75,0.0,0.65,0.0,NaN,N
PICK-UP A,0.0,0.0,0.13,0.5,0.27,0.57,15.0,7.0,0.79,0.0,0.7,0.0,NaN,N
STACK A C,0.0,0.0,0.11,0.56,0.24,0.62,17.0,7.0,0.81,0.0,0.74,0.0,NaN,N
PICK-UP C,0.12,0.33,0.3,0.4,0.5,0.56,7.0,5.0,0.25,0.0,0.14,0.1,NaN,N
STACK C H,0.0,0.29,0.25,0.43,0.4,0.54,9.0,5.0,0.44,0.0,0.44,0.2,NaN,N
PICK-UP A,0.0,0.29,0.17,0.43,0.34,0.54,11.0,5.0,0.6,0.0,0.5,0.0,NaN,N
STACK A C,-0.08,0.4,0.14,0.51,0.3,0.56,13.0,5.0,0.67,0.0,0.58,0.0,NaN,N
PICK-UP S,-0.07,0.22,0.13,0.42,0.26,0.5,15.0,5.0,0.71,0.0,0.63,0.0,NaN,N
PICK-UP C,0.12,0.33,0.3,0.4,0.5,0.56,7.0,5.0,0.25,0.0,0.14,0.1,NaN,N
STACK C H,0.0,0.29,0.25,0.43,0.4,0.54,9.0,5.0,0.44,0.0,0.44,0.2,NaN,N
PICK-UP A,0.0,0.29,0.17,0.43,0.34,0.54,11.0,5.0,0.6,0.0,0.5,0.0,NaN,N
STACK A C,-0.08,0.4,0.14,0.51,0.3,0.56,13.0,5.0,0.67,0.0,0.58,0.0,NaN,N
PICK-UP S,0.31,0.12,0.4,0.3,0.56,0.5,5.0,7.0,0.0,0.25,0.1,0.14,NaN,N
STACK S H,0.29,0.0,0.43,0.25,0.54,0.4,5.0,9.0,0.0,0.44,0.2,0.44,NaN,N
PICK-UP C,0.0,0.17,0.36,0.17,0.42,0.33,7.0,11.0,0.33,0.6,0.43,0.5,NaN,N
STACK C S,0.0,0.14,0.29,0.14,0.33,0.29,9.0,13.0,0.5,0.67,0.56,0.58,NaN,N
PICK-UP A,0.0,0.12,0.25,0.13,0.29,0.25,11.0,15.0,0.6,0.71,0.64,0.63,NaN,N
STACK A C,-0.15,0.11,0.22,0.11,0.25,0.22,13.0,17.0,0.67,0.75,0.69,0.68,NaN,N
